|     | tool     |   seed | bug_id             |   num_patches |   time (seconds) |
|  90 | Cardumen |     28 | RPN_EVAL           |             1 |               18 |
|  91 | Cardumen |     29 | DEPTH_FIRST_SEARCH |             7 |                7 |
|  92 | Cardumen |     29 | HANOI              |             1 |              132 |
|  93 | Cardumen |     29 | LEVENSHTEIN        |             5 |               29 |
|  94 | Cardumen |     29 | MERGESORT          |             1 |                5 |
|  95 | Cardumen |     29 | RPN_EVAL           |             1 |               12 |
|  96 | Cardumen |      2 | HANOI              |             1 |              147 |
|  97 | Cardumen |      2 | MERGESORT          |             1 |                4 |
|  98 | Cardumen |      2 | RPN_EVAL           |             1 |               29 |
|  99 | Cardumen |      3 | DEPTH_FIRST_SEARCH |             7 |                4 |
| 100 | Cardumen |      3 | LEVENSHTEIN        |             5 |               15 |
| 101 | Cardumen |      3 | RPN_EVAL           |             1 |               35 |
| 102 | Cardumen |      4 | GET_FACTORS        |             1 |                6 |
| 103 | Cardumen |      4 | HANOI              |             1 |              110 |
| 104 | Cardumen |      4 | LEVENSHTEIN        |             5 |              193 |
| 105 | Cardumen |      4 | MERGESORT          |             1 |                3 |
| 106 | Cardumen |      4 | RPN_EVAL           |             1 |               10 |
| 107 | Cardumen |      5 | DEPTH_FIRST_SEARCH |             7 |                9 |
| 108 | Cardumen |      5 | LEVENSHTEIN        |             5 |               12 |
| 109 | Cardumen |      5 | MERGESORT          |             1 |                6 |
| 110 | Cardumen |      5 | RPN_EVAL           |             1 |               36 |
| 111 | Cardumen |      6 | DEPTH_FIRST_SEARCH |             7 |               14 |
| 112 | Cardumen |      6 | HANOI              |             1 |              124 |
| 113 | Cardumen |      6 | LEVENSHTEIN        |             4 |              170 |
| 114 | Cardumen |      6 | RPN_EVAL           |             1 |               39 |
| 115 | Cardumen |      7 | HANOI              |             1 |              133 |
| 116 | Cardumen |      7 | LEVENSHTEIN        |             5 |               43 |
| 117 | Cardumen |      7 | RPN_EVAL           |             1 |               30 |
| 118 | Cardumen |      8 | DEPTH_FIRST_SEARCH |             7 |               14 |
| 119 | Cardumen |      8 | HANOI              |             1 |              152 |
| 120 | Cardumen |      8 | LEVENSHTEIN        |             5 |              103 |
| 121 | Cardumen |      9 | DEPTH_FIRST_SEARCH |             7 |               12 |
| 122 | Cardumen |      9 | HANOI              |             1 |              119 |
| 123 | Cardumen |      9 | LEVENSHTEIN        |             4 |               14 |
| 124 | Cardumen |      9 | RPN_EVAL           |             1 |               20 |
| 125 | Figra    |      0 | DEPTH_FIRST_SEARCH |            15 |                4 |
| 126 | Figra    |      0 | GET_FACTORS        |             1 |                9 |
| 127 | Figra    |      0 | HANOI              |             7 |              117 |
| 128 | Figra    |      0 | LEVENSHTEIN        |            15 |              159 |
| 129 | Figra    |      0 | RPN_EVAL           |             2 |               61 |
| 130 | Figra    |     10 | DEPTH_FIRST_SEARCH |            15 |                9 |
| 131 | Figra    |     10 | HANOI              |             7 |              172 |
| 132 | Figra    |     10 | LEVENSHTEIN        |            17 |              496 |
| 133 | Figra    |     10 | MERGESORT          |             4 |              142 |
| 134 | Figra    |     10 | RPN_EVAL           |             2 |                2 |
| 135 | Figra    |     11 | DEPTH_FIRST_SEARCH |            15 |                2 |
| 136 | Figra    |     11 | HANOI              |             7 |              109 |
| 137 | Figra    |     11 | LEVENSHTEIN        |            15 |              226 |
| 138 | Figra    |     11 | MERGESORT          |             2 |              117 |
| 139 | Figra    |     11 | RPN_EVAL           |             2 |               45 |
| 140 | Figra    |     12 | DEPTH_FIRST_SEARCH |            15 |                4 |
| 141 | Figra    |     12 | HANOI              |             7 |               16 |
| 142 | Figra    |     12 | LEVENSHTEIN        |            16 |              313 |
| 143 | Figra    |     12 | MERGESORT          |             3 |               32 |
